                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.69339,                0.66152,                0.12438,                0.52772,                0.54095,                0.51013,                0.22216,                0.66166,                0.71415,                0.13686,               0.000137,               0.000137,               0.000137
                     47,                0.69306,                0.65941,                0.12377,                0.53853,                0.56573,                0.51913,                0.22666,                0.65778,                0.71063,                 0.1389,             0.00012875,             0.00012875,             0.00012875
                     48,                 0.7056,                0.66802,                0.12957,                0.54645,                0.53448,                0.51656,                0.22558,                0.66026,                0.70539,                 0.1397,              0.0001205,              0.0001205,              0.0001205
                     49,                0.68423,                 0.6595,                0.12059,                0.54891,                0.55496,                0.51769,                0.22589,                0.66401,                0.71015,                0.13846,             0.00011225,             0.00011225,             0.00011225
                     50,                0.68212,                0.65301,                0.12104,                0.54664,                0.54634,                0.51565,                0.22689,                0.65748,                0.71407,                0.13453,               0.000104,               0.000104,               0.000104
                     51,                0.69016,                0.66286,                0.11838,                0.56329,                0.54526,                0.52249,                0.22865,                0.66616,                0.70651,                0.13874,              9.575e-05,              9.575e-05,              9.575e-05
                     52,                0.69765,                0.65279,                0.12464,                0.56439,                0.52496,                0.52127,                0.23027,                0.65902,                0.71264,                0.13577,               8.75e-05,               8.75e-05,               8.75e-05
                     53,                0.69332,                0.65026,                0.12237,                0.55326,                0.54049,                0.51736,                0.22818,                0.66133,                 0.7131,                0.13812,              7.925e-05,              7.925e-05,              7.925e-05
                     54,                0.70189,                0.65286,                0.12497,                0.56837,                0.53987,                0.52568,                0.23205,                0.65949,                0.70862,                0.13418,                7.1e-05,                7.1e-05,                7.1e-05
                     55,                0.67501,                0.64958,                0.11686,                 0.5651,                0.54095,                0.52829,                0.23245,                0.66252,                 0.7077,                0.13618,              6.275e-05,              6.275e-05,              6.275e-05
                     56,                0.67653,                0.66529,                0.12281,                0.54566,                 0.5528,                0.52172,                0.22892,                0.65652,                0.71096,                0.13724,               5.45e-05,               5.45e-05,               5.45e-05
                     57,                 0.6755,                0.65418,                 0.1213,                0.55818,                0.54957,                  0.531,                0.23407,                0.65892,                0.70538,                0.13519,              4.625e-05,              4.625e-05,              4.625e-05
                     58,                0.67779,                0.65084,                0.11785,                0.55784,                0.55468,                0.52626,                0.22995,                0.66161,                0.70448,                0.13653,                3.8e-05,                3.8e-05,                3.8e-05
                     59,                0.67943,                0.65878,                 0.1186,                0.55556,                0.55901,                0.52617,                0.22983,                 0.6596,                0.70836,                0.13758,              2.975e-05,              2.975e-05,              2.975e-05
                     60,                0.67329,                0.65944,                0.12189,                0.54728,                0.56034,                0.52314,                0.22843,                0.66263,                0.70893,                0.13827,               2.15e-05,               2.15e-05,               2.15e-05
